,cena,czynsz,forma_wlasnosci,liczba_pieter,liczba_pokoi,material_budynku,ogrzewanie,okna,pietro,powierzchnia,rodzaj_zabudowy,rynek,stan_wykonczenia,wiek
0,299000.0,350.0,pelna_wlasnosc,8,2,pustak,miejskie,plastikowe,2.0,40.0,apartamentowiec,pierwotny,do_zamieszkania,0
1,275709.0,350.0,pelna_wlasnosc,10,3,pustak,miejskie,plastikowe,1.0,48.37,apartamentowiec,pierwotny,do_wykonczenia,0
2,518891.0,350.0,pelna_wlasnosc,10,4,beton,miejskie,plastikowe,2.0,79.22,blok,pierwotny,do_wykonczenia,0
3,255000.0,350.0,pelna_wlasnosc,10,3,pustak,miejskie,plastikowe,10.0,50.0,apartamentowiec,pierwotny,do_wykonczenia,0
4,290457.0,350.0,pelna_wlasnosc,10,3,pustak,miejskie,plastikowe,1.0,49.23,apartamentowiec,pierwotny,do_wykonczenia,0
5,270000.0,350.0,pelna_wlasnosc,3,3,beton,miejskie,plastikowe,3.0,45.0,blok,wtorny,do_zamieszkania,39
6,693528.0,350.0,pelna_wlasnosc,6,4,pustak,miejskie,aluminiowe,6.0,78.81,apartamentowiec,pierwotny,do_wykonczenia,0
7,627200.0,350.0,pelna_wlasnosc,6,3,pustak,miejskie,aluminiowe,6.0,64.0,apartamentowiec,pierwotny,do_wykonczenia,0
8,337994.0,180.0,pelna_wlasnosc,4,3,pustak,miejskie,plastikowe,4.0,61.12,apartamentowiec,pierwotny,do_wykonczenia,0
9,636300.0,350.0,pelna_wlasnosc,6,4,pustak,miejskie,aluminiowe,6.0,70.7,apartamentowiec,pierwotny,do_wykonczenia,0
10,444000.0,100.0,pelna_wlasnosc,4,3,pustak,miejskie,plastikowe,2.0,67.0,apartamentowiec,pierwotny,do_wykonczenia,-1
11,398601.0,200.0,pelna_wlasnosc,4,3,pustak,miejskie,plastikowe,4.0,71.82,apartamentowiec,pierwotny,do_wykonczenia,0
12,475640.0,350.0,pelna_wlasnosc,6,3,pustak,miejskie,aluminiowe,0.0,54.05,apartamentowiec,pierwotny,do_wykonczenia,0
13,540000.0,350.0,pelna_wlasnosc,3,3,inne,miejskie,plastikowe,2.0,74.0,apartamentowiec,wtorny,do_zamieszkania,39
14,225000.0,350.0,pelna_wlasnosc,10,2,pustak,miejskie,plastikowe,6.0,40.0,apartamentowiec,pierwotny,do_wykonczenia,0
15,295000.0,500.0,pelna_wlasnosc,10,3,beton,miejskie,plastikowe,8.0,61.0,blok,wtorny,do_zamieszkania,39
16,285000.0,350.0,pelna_wlasnosc,4,1,cegla,miejskie,plastikowe,1.0,48.2,kamienica,wtorny,do_zamieszkania,39
17,238700.0,350.0,pelna_wlasnosc,10,2,pustak,miejskie,plastikowe,4.0,38.5,apartamentowiec,pierwotny,do_wykonczenia,0
18,285000.0,350.0,pelna_wlasnosc,10,3,pustak,miejskie,plastikowe,10.0,53.0,apartamentowiec,pierwotny,do_wykonczenia,0
